,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Att,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,8.7,9,0,1,1,0,7.2,0.29,-1.8,-0.21,54,133,40.6,231,47,44.6,38.5,64,46.9,40.1,63,4,6.3,5,0.57,12.5,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,12.3,5,0,0,0,0,8.0,0.25,+3.0,+0.25,63,115,54.8,308,53,28.6,33.5,70,38.6,38.7,50,2,4.0,13,1.06,16.4,Matches
3,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23.0,30,2,0,4,2,24.5,0.38,-2.5,-0.11,95,236,40.3,610,98,28.4,32.3,140,45.0,40.0,113,7,6.2,17,0.77,16.4,Matches
4,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,3.8,7,0,0,0,0,4.2,0.28,-2.8,-0.73,19,47,40.4,104,13,27.9,31.5,28,64.3,48.2,24,1,4.2,1,0.26,12.4,Matches
5,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,23.0,34,0,0,8,1,39.6,0.34,+6.6,+0.30,174,455,38.2,414,63,64.5,48.6,205,91.7,66.6,171,14,8.2,9,0.41,12.5,Matches
6,Ederson\Ederson,br BRA,GK,Manchester City,19.1,20,2,1,2,0,18.5,0.35,+0.5,+0.03,68,118,57.6,433,92,21.2,29.6,73,35.6,34.5,62,7,11.3,18,0.99,19.0,Matches
7,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,8.5,10,1,0,1,0,10.6,0.30,+0.6,+0.07,76,197,38.6,193,35,71.0,50.5,62,96.8,66.4,56,2,3.6,2,0.23,12.1,Matches
8,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,0.2,1,1,0,0,0,1.3,1.29,+0.3,+1.17,1,3,33.3,7,2,42.9,29.7,3,0.0,16.0,4,0,0.0,0,0.00,7.0,Matches
9,Ben Foster\Ben-Foster,eng ENG,GK,Watford,23.0,34,5,2,3,2,37.4,0.38,+5.4,+0.23,184,592,31.1,557,74,77.9,54.1,170,92.9,68.1,158,16,10.1,22,0.96,15.2,Matches
10,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,16.9,23,3,1,2,1,23.3,0.32,+1.3,+0.08,75,260,28.8,363,56,45.7,38.8,131,71.8,57.8,114,8,7.0,12,0.71,14.2,Matches
11,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,22.0,25,1,1,6,1,23.7,0.31,-0.3,-0.01,67,182,36.8,394,97,33.5,34.8,152,32.9,35.1,111,5,4.5,7,0.32,13.1,Matches
12,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,21.0,22,0,0,4,1,25.6,0.35,+6.6,+0.33,132,400,33.0,445,84,59.8,45.1,158,84.8,63.2,116,9,7.8,9,0.45,13.8,Matches
13,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,10.0,25,2,1,1,0,19.0,0.36,-6.0,-0.60,46,190,24.2,177,24,68.9,50.4,79,86.1,60.7,62,5,8.1,8,0.80,16.7,Matches
14,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,19.9,35,3,1,7,1,35.0,0.36,+1.0,+0.05,129,384,33.6,418,95,57.7,45.9,196,73.0,56.6,156,11,7.1,8,0.40,11.8,Matches
15,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22.0,19,0,0,2,0,20.8,0.30,+2.8,+0.13,130,503,25.8,465,61,77.8,58.3,146,96.6,76.2,103,8,7.8,9,0.43,13.4,Matches
16,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,2.0,4,0,0,2,0,4.5,0.30,+0.5,+0.23,22,56,39.3,43,4,81.4,55.0,23,91.3,69.6,14,1,7.1,0,0.00,13.7,Matches
17,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,21.0,38,3,1,9,2,36.6,0.36,+0.6,+0.03,134,409,32.8,626,98,49.7,41.7,174,56.3,46.5,140,10,7.1,8,0.40,14.6,Matches
18,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,23.0,32,4,0,4,0,33.9,0.31,+2.9,+0.13,70,238,29.4,548,140,28.8,32.1,193,41.5,38.3,144,14,9.7,12,0.55,13.4,Matches
19,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,6.1,8,0,0,0,0,11.8,0.32,+3.8,+0.62,37,72,51.4,145,33,37.9,35.9,40,42.5,37.3,37,4,10.8,2,0.33,11.5,Matches
20,David Martin\David-Martin,eng ENG,GK,West Ham,4.8,6,0,0,1,0,6.9,0.35,+0.9,+0.18,39,106,36.8,80,10,80.0,55.3,44,95.5,65.4,38,0,0.0,0,0.00,9.0,Matches
21,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,13.0,17,1,0,3,0,18.1,0.35,+4.1,+0.34,75,225,33.3,236,31,68.6,50.8,75,84.0,62.4,100,9,9.0,2,0.17,10.7,Matches
22,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,1.8,6,0,0,0,0,4.4,0.45,-1.6,-0.88,9,29,31.0,37,10,54.1,38.4,14,64.3,45.8,12,0,0.0,1,0.57,15.4,Matches
23,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,1.0,3,0,0,0,0,1.7,0.34,-1.3,-1.31,3,19,15.8,17,2,82.4,63.7,5,100.0,77.6,0,0,,0,0.00,14.3,Matches
24,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,2.0,8,0,0,0,0,5.0,0.33,-3.0,-1.53,16,39,41.0,41,10,48.8,43.5,22,86.4,59.8,9,0,0.0,0,0.00,7.9,Matches
25,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,23.0,30,0,0,5,1,23.6,0.33,-3.4,-0.15,146,314,46.5,319,73,54.2,42.6,177,79.7,53.5,151,4,2.6,6,0.27,12.4,Matches
26,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,23.0,33,1,3,4,2,32.0,0.35,+1.0,+0.04,209,523,40.0,676,102,61.2,49.3,158,69.0,58.3,139,10,7.2,16,0.70,15.2,Matches
27,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,22.0,37,2,0,3,1,28.7,0.31,-7.3,-0.33,175,544,32.2,510,89,74.9,55.0,175,92.6,71.3,160,21,13.1,28,1.27,17.3,Matches
28,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,22.0,33,3,1,4,0,32.2,0.34,+0.2,+0.01,94,333,28.2,488,121,46.9,41.3,169,61.5,53.5,132,10,7.6,11,0.52,14.4,Matches
29,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,1.0,1,0,0,1,0,1.5,0.49,+0.5,+0.47,12,20,60.0,17,3,82.4,54.5,6,100.0,67.2,9,0,0.0,1,1.00,15.3,Matches
30,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Roberto\Roberto,es ESP,GK,West Ham,7.6,17,1,1,3,1,17.2,0.34,+1.2,+0.16,49,167,29.3,192,26,67.2,49.0,40,95.0,66.0,46,3,6.5,5,0.66,13.1,Matches
32,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,23.0,31,2,0,4,2,35.2,0.34,+7.2,+0.33,142,272,52.2,706,143,31.0,32.2,149,35.6,33.7,92,6,6.5,9,0.41,13.6,Matches
33,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,22.0,21,4,0,3,0,24.8,0.32,+3.8,+0.17,136,279,48.7,531,93,38.6,36.6,154,48.1,41.5,118,3,2.5,14,0.64,15.5,Matches
34,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,1,0.0,1,0,0.0,26.0,1,100.0,70.0,0,0,,0,0.00,,Matches
35,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,1.0,3,0,0,0,0,2.1,0.41,-0.9,-0.94,7,13,53.8,24,5,33.3,34.5,8,62.5,45.4,7,0,0.0,0,0.00,14.9,Matches
